product_name,release_year,market_tier_bracket,chipset,storage_gb,ram_gb,storage_type,display_size_inches,display_ppi,display_tech,display_refresh_rate_hz,brightness_nits,battery_capacity_mah,wired_charging_power,has_wireless_charging,rear_main_camera_megapixels,has_ultrawide,has_macro,has_telephoto,has_periscope,aperture,IP_Rating,is_dustproof,is_waterproof,has_optical_image_stabilization,front_camera_megapixels,video_resolution_options,fps,weight_grams,thickness_mm,form_factor,max_network_generation,operating_system,operating_system_version,back_panel_material,chassis_frame_material,HDR_status,rear_camera_count,nano_sim,has_esim_support,display_protection_tier,chipset_score,score_performance_hardware,score_camera_system,score_display,score_design_build_quality,score_battery_charging,score_software_os_connectivity_features,score_overall
Xiaomi 17 Pro,2025,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.3,464,LTPO AMOLED,120,1400,6300,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.7,IP68,TRUE,TRUE,TRUE,50,4320,30,192,8,bar,5G,Android,16,Unknown,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,98.2,85.43,85.91,79.46,92.73,98,90.47
OnePlus 15,2025,Flagship,Snapdragon 8 Elite Gen 5,512,16,UFS 4.1,6.78,450,LTPO AMOLED,165,1800,7300,120,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.8,IP68/IP69K,TRUE,TRUE,TRUE,32,4320,30,211,8.1,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,93.04,83.78,91,74.01,100,98,90.42
vivo X300 Ultra,2026,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.82,510,LTPO AMOLED,144,600,6600,100,TRUE,200,TRUE,FALSE,FALSE,FALSE,1.9,IP68/IP69,TRUE,TRUE,TRUE,50,4320,30,232,8.2,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,98.2,86.25,83.71,77.75,92.73,100,90.23
Realme GT 8 Pro,2025,Flagship,Snapdragon 8 Elite Gen 5,512,16,UFS 4.1,6.79,508,AMOLED,144,2000,7000,120,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.8,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,214,8.2,bar,5G,Android,16,"Eco-Leather, Plastic",Aluminum,Dolby Vision,3,2,TRUE,premium_branded,97,93.04,83.78,88.96,76.13,100,98,90.22
Xiaomi 17,2025,Flagship,Snapdragon 8 Elite Gen 5,512,16,UFS 4.1,6.3,460,LTPO AMOLED,120,1400,6330,100,TRUE,50,TRUE,FALSE,TRUE,FALSE,1.7,IP68,TRUE,TRUE,TRUE,50,4320,30,191,8.1,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,93.04,88.43,85.67,83.53,92.73,98,90.14
vivo X300,2025,Flagship,Dimensity 9500,1024,16,UFS 4.1,6.31,461,LTPO AMOLED,120,1800,6040,90,TRUE,200,TRUE,FALSE,FALSE,FALSE,1.7,IP68/IP69,TRUE,TRUE,TRUE,50,2160,60,190,8,bar,5G,Android,16,Glass,Aluminum,HDR10+,3,2,TRUE,none_generic,96,97.6,88.63,86.91,74.57,89.09,98,90.13
OnePlus 13,2024,Flagship,Snapdragon 8 Elite (Gen 4),1024,24,UFS 4.0,6.82,510,LTPO 4.1 AMOLED,120,1600,6000,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,210,8.5,bar,5G,Android,15,"Eco-Leather, Glass",Aluminum,Dolby Vision,3,2,TRUE,premium_branded,91,94.6,87.08,89.79,77.45,92.73,94.29,90.11
Oppo Find X9 Pro,2025,Flagship,Dimensity 9500,1024,16,UFS 4.1,6.78,450,LTPO AMOLED,120,1800,7500,80,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.5,IP68/IP69,TRUE,TRUE,TRUE,50,2160,60,224,8.3,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,96,97.6,87.81,88.5,78.23,85.45,98,90.1
vivo iQOO 15,2025,Flagship,Snapdragon 8 Elite Gen 5,512,16,UFS 4.1,6.85,508,LTPO AMOLED,144,2600,7000,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.9,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,215,8.1,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,none_generic,97,93.04,82.12,100,64.01,92.73,98,89.79
OnePlus 15,2025,Flagship,Snapdragon 8 Elite Gen 5,256,16,UFS 4.1,6.78,450,LTPO AMOLED,165,1800,7300,120,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.8,IP68/IP69K,TRUE,TRUE,TRUE,32,4320,30,211,8.1,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,90.46,83.78,91,74.01,100,98,89.77
Realme GT 8 Pro,2025,Flagship,Snapdragon 8 Elite Gen 5,256,16,UFS 4.1,6.79,508,AMOLED,144,2000,7000,120,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.8,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,214,8.2,bar,5G,Android,16,"Eco-Leather, Plastic",Aluminum,Dolby Vision,3,2,TRUE,premium_branded,97,90.46,83.78,88.96,76.13,100,98,89.58
Motorola Signature,2026,Flagship,Snapdragon 8 Gen 5,1024,16,UFS 4.1,6.8,446,LTPO AMOLED,165,2480,5200,90,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69,TRUE,TRUE,TRUE,50,4320,30,186,7,bar,5G,Android,16,Unknown,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,86,91.6,87.08,96.59,83.86,77.09,100,89.58
Honor Magic7 RSR Porsche Design,2024,Flagship,Snapdragon 8 Elite (Gen 4),1024,24,UFS 4.0,6.8,453,LTPO OLED,120,1600,5850,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.4,IP68/IP69,TRUE,TRUE,TRUE,50,2160,60,228,8.8,bar,5G,Android,15,Glass,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,91,94.6,89.46,86.97,75.89,90.48,94.29,89.53
Xiaomi 17 Pro Max,2025,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.9,416,LTPO AMOLED,120,1400,7500,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.7,IP68,TRUE,TRUE,TRUE,50,4320,30,219,8,bar,5G,Android,16,Unknown,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,98.2,85.43,83.03,75.71,92.73,98,89.52
Honor Magic8 Pro,2025,Flagship,Snapdragon 8 Elite Gen 5,512,12,UFS 4.1,6.71,458,LTPO OLED,120,1800,7100,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69K,TRUE,TRUE,TRUE,50,2160,120,219,8.3,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,88.75,92.83,88.98,72.19,92.73,98,89.48
Xiaomi 17 Ultra,2026,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.9,416,LTPO AMOLED,120,1400,6000,90,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.7,IP68/IP69,TRUE,TRUE,TRUE,50,4320,30,218.4,8.3,bar,5G,Android,16,"Eco-Leather, Plastic",Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,98.2,85.43,83.03,77.78,89.09,100,89.38
vivo iQOO 15 Ultra,2026,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.85,508,AMOLED,144,2600,7400,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.9,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,227,8.7,bar,5G,Android,16,Unknown,Unknown,Dolby Vision,3,2,TRUE,none_generic,97,98.2,82.12,93.25,58.36,92.73,100,89.37
vivo iQOO 15 Ultra,2026,Flagship,Snapdragon 8 Elite Gen 5,1024,24,UFS 4.1,6.85,508,AMOLED,144,2600,7400,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.9,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,227,8.7,bar,5G,Android,16,Unknown,Unknown,Dolby Vision,3,2,TRUE,none_generic,97,98.2,82.12,93.25,58.36,92.73,100,89.37
OnePlus 15,2025,Flagship,Snapdragon 8 Elite Gen 5,512,12,UFS 4.1,6.78,450,LTPO AMOLED,165,1800,7300,120,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.8,IP68/IP69K,TRUE,TRUE,TRUE,32,4320,30,211,8.1,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,88.75,83.78,91,74.01,100,98,89.34
vivo X300 Pro,2025,Flagship,Dimensity 9500,512,16,UFS 4.1,6.78,452,LTPO AMOLED,120,1800,6510,90,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69,TRUE,TRUE,TRUE,50,4320,30,226,8,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,96,92.44,87.08,88.62,79.02,89.09,98,89.32
Xiaomi Redmi K80 Pro,2024,Flagship,Snapdragon 8 Elite (Gen 4),1024,16,UFS 4.0,6.67,526,OLED,120,1800,6000,120,TRUE,50,TRUE,FALSE,TRUE,FALSE,1.6,IP68,TRUE,TRUE,TRUE,20,4320,24,212,8.4,bar,5G,Android,15,Unknown,Unknown,Dolby Vision,3,2,TRUE,ultra_premium,91,94.6,85.63,84.75,70.96,100,94.29,89.25
Honor Magic8 RSR Porsche Design,2026,Flagship,Snapdragon 8 Elite Gen 5,512,16,UFS,6.71,458,LTPO OLED,120,1800,7200,120,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69K,TRUE,TRUE,TRUE,50,2160,120,239,8.5,bar,5G,Android,16,Unknown,Aluminum,Dolby Vision,3,2,TRUE,none_generic,97,86.29,92.83,88.98,62.94,100,100,89.23
Xiaomi 17 Pro,2025,Flagship,Snapdragon 8 Elite Gen 5,512,16,UFS 4.1,6.3,464,LTPO AMOLED,120,1400,6300,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.7,IP68,TRUE,TRUE,TRUE,50,4320,30,192,8,bar,5G,Android,16,Unknown,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,93.04,85.43,85.91,79.46,92.73,98,89.18
Honor Magic7 Pro,2024,Flagship,Snapdragon 8 Elite (Gen 4),1024,16,UFS 4.0,6.8,453,LTPO OLED,120,1600,5850,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.4,IP68/IP69,TRUE,TRUE,TRUE,50,2160,60,223,8.8,bar,5G,Android,15,Glass,Unknown,Dolby Vision,3,2,TRUE,ultra_premium,91,94.6,89.46,86.97,72.3,90.48,94.29,89.17
Honor Magic8,2025,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.0,6.58,461,LTPO OLED,120,1800,7000,90,TRUE,50,TRUE,FALSE,TRUE,FALSE,1.9,IP68/IP69,TRUE,TRUE,TRUE,50,2160,60,205,8,bar,5G,Android,16,Unknown,Unknown,Dolby Vision,3,2,TRUE,standard_branded,97,98.2,84.21,89.16,67.59,89.09,98,89.15
Realme GT 8 Pro,2025,Flagship,Snapdragon 8 Elite Gen 5,512,12,UFS 4.1,6.79,508,AMOLED,144,2000,7000,120,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.8,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,214,8.2,bar,5G,Android,16,"Eco-Leather, Plastic",Aluminum,Dolby Vision,3,2,TRUE,premium_branded,97,88.75,83.78,88.96,76.13,100,98,89.15
vivo iQOO 15,2025,Flagship,Snapdragon 8 Elite Gen 5,256,16,UFS 4.1,6.85,508,LTPO AMOLED,144,2600,7000,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.9,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,215,8.1,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,none_generic,97,90.46,82.12,100,64.01,92.73,98,89.15
Xiaomi 17T Pro,2026,Mid-Range,Dimensity 9500,1024,12,UFS 4.1,6.83,447,AMOLED,144,2000,7000,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.7,IP68,TRUE,TRUE,TRUE,32,4320,30,219,8.3,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,premium_branded,96,93.31,85.43,85.78,76.3,92.73,100,89.11
Xiaomi 17,2025,Flagship,Snapdragon 8 Elite Gen 5,512,12,UFS 4.1,6.3,460,LTPO AMOLED,120,1400,6330,100,TRUE,50,TRUE,FALSE,TRUE,FALSE,1.7,IP68,TRUE,TRUE,TRUE,50,4320,30,191,8.1,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,88.75,88.43,85.67,83.53,92.73,98,89.07
vivo X300 Ultra,2026,Flagship,Snapdragon 8 Elite Gen 5,512,16,UFS 4.1,6.82,510,LTPO AMOLED,144,600,6600,100,TRUE,200,TRUE,FALSE,FALSE,FALSE,1.9,IP68/IP69,TRUE,TRUE,TRUE,50,4320,30,232,8.2,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,93.04,86.25,83.71,77.75,92.73,100,88.94
Oppo Find N6,2026,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,8.12,412,Foldable LTPO OLED,120,1800,6000,80,TRUE,200,TRUE,FALSE,FALSE,FALSE,1.8,IP58/IP59,TRUE,TRUE,TRUE,20,2160,60,225,4.2,fold,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,none_generic,97,98.2,82.54,86.22,77.79,85.45,100,88.9
Xiaomi 17T Pro,2026,Mid-Range,Dimensity 9500,512,16,UFS 4.1,6.83,447,AMOLED,144,2000,7000,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.7,IP68,TRUE,TRUE,TRUE,32,4320,30,219,8.3,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,premium_branded,96,92.44,85.43,85.78,76.3,92.73,100,88.89
vivo X300,2025,Flagship,Dimensity 9500,512,16,UFS 4.1,6.31,461,LTPO AMOLED,120,1800,6040,90,TRUE,200,TRUE,FALSE,FALSE,FALSE,1.7,IP68/IP69,TRUE,TRUE,TRUE,50,2160,60,190,8,bar,5G,Android,16,Glass,Aluminum,HDR10+,3,2,TRUE,none_generic,96,92.44,88.63,86.91,74.57,89.09,98,88.84
Honor Magic8 Pro,2025,Flagship,Snapdragon 8 Elite Gen 5,256,12,UFS 4.1,6.71,458,LTPO OLED,120,1800,7100,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69K,TRUE,TRUE,TRUE,50,2160,120,219,8.3,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,86.17,92.83,88.98,72.19,92.73,98,88.83
Xiaomi 15 Ultra,2025,Flagship,Snapdragon 8 Elite (Gen 4),1024,16,UFS 4.1,6.73,522,LTPO AMOLED,120,1280,5410,90,TRUE,50,TRUE,FALSE,TRUE,TRUE,1.6,IP68,TRUE,TRUE,TRUE,32,4320,30,226,9.4,bar,5G,Android,15,"Eco-Leather, Plastic",Aluminum,Dolby Vision,4,2,TRUE,ultra_premium,91,94.6,94.08,87.04,72.8,80.24,96.29,88.82
OnePlus 13,2024,Flagship,Snapdragon 8 Elite (Gen 4),512,16,UFS 4.0,6.82,510,LTPO 4.1 AMOLED,120,1600,6000,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,210,8.5,bar,5G,Android,15,"Eco-Leather, Glass",Aluminum,Dolby Vision,3,2,TRUE,premium_branded,91,89.44,87.08,89.79,77.45,92.73,94.29,88.82
Oppo Find X9 Pro,2025,Flagship,Dimensity 9500,512,16,UFS 4.1,6.78,450,LTPO AMOLED,120,1800,7500,80,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.5,IP68/IP69,TRUE,TRUE,TRUE,50,2160,60,224,8.3,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,96,92.44,87.81,88.5,78.23,85.45,98,88.81
vivo iQOO 15,2025,Flagship,Snapdragon 8 Elite Gen 5,512,12,UFS 4.1,6.85,508,LTPO AMOLED,144,2600,7000,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.9,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,215,8.1,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,none_generic,97,88.75,82.12,100,64.01,92.73,98,88.72
Xiaomi 17 Max,2026,Flagship,Snapdragon 8 Elite Gen 5,512,16,UFS 4.1,6.9,420,LTPO AMOLED,120,1400,8000,100,TRUE,200,TRUE,FALSE,FALSE,FALSE,1.7,IP68,TRUE,TRUE,TRUE,32,4320,30,219,8.2,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,none_generic,97,93.04,89.55,83.27,69.83,92.73,100,88.72
OnePlus 15,2025,Flagship,Snapdragon 8 Elite Gen 5,256,12,UFS 4.1,6.78,450,LTPO AMOLED,165,1800,7300,120,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.8,IP68/IP69K,TRUE,TRUE,TRUE,32,4320,30,211,8.1,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,86.17,83.78,91,74.01,100,98,88.7
Oppo Find X9,2025,Flagship,Dimensity 9500,1024,16,UFS 4.1,6.59,460,AMOLED,120,1800,7025,80,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69,TRUE,TRUE,TRUE,32,2160,60,203,8,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,premium_branded,96,97.6,86.16,82.35,79.59,85.45,98,88.68
OnePlus 15T,2026,Mid-Range,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.32,460,AMOLED,165,1800,7500,100,TRUE,50,FALSE,FALSE,TRUE,FALSE,1.8,IP68/IP69K,TRUE,TRUE,TRUE,16,4320,30,194,8.4,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,2,2,TRUE,ultra_premium,97,98.2,78.35,84.85,75.3,92.73,100,88.63
Xiaomi Redmi K90 Pro Max,2025,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.9,416,AMOLED,120,1400,7560,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.7,IP68,TRUE,TRUE,TRUE,32,4320,30,218,7.9,bar,5G,Android,16,"Eco-Leather, Plastic",Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,98.2,85.43,76.28,79.27,92.73,98,88.53
Realme GT 8 Pro,2025,Flagship,Snapdragon 8 Elite Gen 5,256,12,UFS 4.1,6.79,508,AMOLED,144,2000,7000,120,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.8,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,214,8.2,bar,5G,Android,16,"Eco-Leather, Plastic",Aluminum,Dolby Vision,3,2,TRUE,premium_branded,97,86.17,83.78,88.96,76.13,100,98,88.5
Xiaomi 17,2025,Flagship,Snapdragon 8 Elite Gen 5,256,12,UFS 4.1,6.3,460,LTPO AMOLED,120,1400,6330,100,TRUE,50,TRUE,FALSE,TRUE,FALSE,1.7,IP68,TRUE,TRUE,TRUE,50,4320,30,191,8.1,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,86.17,88.43,85.67,83.53,92.73,98,88.42
vivo X300s,2026,Flagship,Dimensity 9500,1024,16,UFS 4.1,6.78,452,LTPO AMOLED,144,600,7100,90,TRUE,200,TRUE,FALSE,FALSE,FALSE,1.7,IP68/IP69,TRUE,TRUE,TRUE,50,2160,60,217,8,bar,5G,Android,16,Glass,Aluminum,HDR10+,3,2,TRUE,none_generic,96,97.6,88.63,78.58,70.82,89.09,100,88.29
Motorola Signature,2026,Flagship,Snapdragon 8 Gen 5,512,16,UFS 4.1,6.8,446,LTPO AMOLED,165,2480,5200,90,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69,TRUE,TRUE,TRUE,50,4320,30,186,7,bar,5G,Android,16,Unknown,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,86,86.44,87.08,96.59,83.86,77.09,100,88.29
Honor Magic7 RSR Porsche Design,2024,Flagship,Snapdragon 8 Elite (Gen 4),512,16,UFS 4.0,6.8,453,LTPO OLED,120,1600,5850,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.4,IP68/IP69,TRUE,TRUE,TRUE,50,2160,60,228,8.8,bar,5G,Android,15,Glass,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,91,89.44,89.46,86.97,75.89,90.48,94.29,88.24
Xiaomi 17 Pro Max,2025,Flagship,Snapdragon 8 Elite Gen 5,512,16,UFS 4.1,6.9,416,LTPO AMOLED,120,1400,7500,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.7,IP68,TRUE,TRUE,TRUE,50,4320,30,219,8,bar,5G,Android,16,Unknown,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,93.04,85.43,83.03,75.71,92.73,98,88.23
vivo X300,2025,Flagship,Dimensity 9500,256,16,UFS 4.1,6.31,461,LTPO AMOLED,120,1800,6040,90,TRUE,200,TRUE,FALSE,FALSE,FALSE,1.7,IP68/IP69,TRUE,TRUE,TRUE,50,2160,60,190,8,bar,5G,Android,16,Glass,Aluminum,HDR10+,3,2,TRUE,none_generic,96,89.86,88.63,86.91,74.57,89.09,98,88.19
